                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49151,                 1.1129,                 2.7508,                0.96226,                0.68685,                0.67279,                0.68909,                0.65114,                0.68625,                0.67154,                0.68704,                0.63342,                0.30462,                0.50138,                 1.1994,                0.86093,             0.00018058,             0.00018058,             0.00018058
                      2,                0.33783,                0.47516,                0.84304,                0.87229,                0.85515,                0.87902,                0.91854,                0.87722,                0.85593,                0.88027,                0.92015,                0.86321,                0.27846,                0.39632,                0.55641,                0.83664,             0.00036229,             0.00036229,             0.00036229
                      3,                0.31573,                0.43588,                0.57449,                0.86097,                0.92329,                0.92906,                0.96281,                0.92275,                0.92513,                0.93113,                0.96476,                 0.9026,                0.27446,                0.36279,                0.40591,                0.84054,             0.00054033,             0.00054033,             0.00054033
                      4,                0.30716,                0.40975,                0.49156,                0.85738,                 0.9388,                0.92963,                0.97344,                0.94023,                0.93986,                0.93121,                 0.9746,                0.91642,                0.25299,                  0.356,                0.34322,                0.83137,             0.00053949,             0.00053949,             0.00053949
                      5,                0.30507,                0.39766,                0.45054,                0.85377,                0.94873,                0.97498,                0.98374,                0.95127,                 0.9501,                0.97635,                0.98452,                0.92696,                  0.247,                 0.3515,                0.29377,                0.82815,             0.00053398,             0.00053398,             0.00053398
                      6,                0.29802,                0.38345,                0.40315,                0.84942,                 0.9499,                0.95472,                0.97863,                0.94633,                0.95208,                0.95667,                0.97972,                0.92805,                 0.2498,                 0.3381,                0.28992,                0.82656,             0.00052848,             0.00052848,             0.00052848
                      7,                0.28925,                0.36913,                0.38009,                0.84627,                0.97566,                0.97618,                0.98872,                0.96129,                0.97566,                0.97618,                0.98768,                 0.9404,                0.23516,                0.33873,                0.24042,                 0.8179,             0.00052297,             0.00052297,             0.00052297
                      8,                0.29351,                0.37362,                0.37607,                0.85234,                 0.9718,                0.97333,                0.98647,                0.95836,                 0.9718,                0.97333,                0.98617,                0.93681,                0.22739,                0.31579,                0.24308,                 0.8175,             0.00051747,             0.00051747,             0.00051747
                      9,                0.28102,                0.36552,                 0.3612,                 0.8532,                0.98578,                0.96844,                0.98719,                0.96125,                0.98503,                0.96912,                  0.988,                 0.9369,                0.22511,                0.33229,                0.22679,                0.81763,             0.00051196,             0.00051196,             0.00051196
                     10,                0.28049,                0.36576,                0.33526,                 0.8438,                0.96816,                 0.9695,                0.98695,                0.96008,                 0.9697,                0.97083,                0.98796,                0.93967,                 0.2261,                0.31197,                0.23387,                0.81787,             0.00050646,             0.00050646,             0.00050646
                     11,                0.27751,                0.34814,                0.32196,                0.84002,                0.96266,                0.97534,                0.98898,                0.96579,                0.96407,                0.97672,                0.98972,                0.94335,                0.22731,                0.30341,                0.22723,                0.81688,             0.00050096,             0.00050096,             0.00050096
                     12,                0.27371,                 0.3583,                0.32552,                0.84704,                0.96943,                0.97716,                0.98574,                0.96111,                0.96943,                0.97716,                0.98574,                0.93856,                0.22276,                0.30337,                0.22822,                 0.8183,             0.00049545,             0.00049545,             0.00049545
                     13,                0.26768,                0.35372,                0.32081,                0.83903,                0.97139,                0.98194,                0.99064,                0.96906,                0.97275,                0.98331,                0.99151,                0.94519,                0.21497,                0.30521,                0.21076,                0.81458,             0.00048995,             0.00048995,             0.00048995
                     14,                0.26147,                0.34793,                0.30592,                0.83972,                0.97646,                0.98123,                0.99111,                0.97111,                0.97785,                0.98261,                0.99167,                0.94271,                0.22062,                0.30153,                0.20196,                 0.8154,             0.00048444,             0.00048444,             0.00048444
                     15,                0.26047,                0.34268,                0.29659,                 0.8351,                0.97621,                0.97116,                0.99046,                0.97252,                0.97756,                0.97254,                0.99145,                0.95015,                0.20913,                0.30061,                 0.2103,                0.81232,             0.00047894,             0.00047894,             0.00047894
                     16,                0.25385,                0.33203,                0.28217,                0.83519,                0.98488,                0.97869,                 0.9916,                0.97354,                0.97927,                0.98673,                0.99222,                0.94711,                 0.2066,                0.29262,                0.19846,                0.80638,             0.00047343,             0.00047343,             0.00047343
                     17,                 0.2553,                0.33554,                0.28567,                0.83882,                 0.9671,                0.98387,                0.98961,                0.97099,                 0.9684,                0.98525,                0.99031,                  0.949,                 0.2059,                0.28871,                0.19831,                0.81094,             0.00046793,             0.00046793,             0.00046793
                     18,                0.25052,                0.32781,                0.27908,                0.83245,                 0.9674,                0.98558,                0.99071,                0.97337,                0.96857,                 0.9875,                0.99153,                0.95142,                0.20691,                0.28986,                0.19823,                0.80952,             0.00046243,             0.00046243,             0.00046243
                     19,                0.25116,                0.32382,                0.27327,                 0.8326,                0.98545,                0.98894,                0.99326,                0.97524,                0.98545,                0.98894,                0.99326,                0.95182,                0.20687,                0.28257,                0.18134,                0.80505,             0.00045692,             0.00045692,             0.00045692
                     20,                0.25259,                0.32466,                0.27129,                 0.8375,                0.98054,                0.98707,                 0.9909,                 0.9761,                0.98054,                0.98707,                 0.9909,                0.94673,                0.19417,                0.27986,                0.18619,                0.80391,             0.00045142,             0.00045142,             0.00045142
                     21,                0.24831,                0.32754,                0.27477,                0.83132,                0.98298,                0.99084,                0.99152,                0.97647,                0.98435,                0.99221,                 0.9922,                0.95183,                0.19151,                0.27802,                0.17924,                 0.8023,             0.00044591,             0.00044591,             0.00044591
                     22,                0.24532,                0.32215,                0.28265,                0.83606,                0.98083,                 0.9891,                0.99316,                0.97919,                0.98224,                0.99047,                0.99379,                0.95613,                0.19569,                0.28387,                0.17935,                0.80511,             0.00044041,             0.00044041,             0.00044041
                     23,                0.24364,                0.31749,                 0.2683,                0.83064,                0.98946,                0.98791,                0.99204,                0.97738,                0.98903,                0.99033,                0.99275,                0.95532,                0.19001,                0.27681,                0.17171,                0.80511,              0.0004349,              0.0004349,              0.0004349
                     24,                0.24394,                0.31265,                0.26634,                0.83401,                0.98904,                0.98578,                0.99428,                0.97728,                0.98875,                0.98606,                0.99442,                  0.955,                0.19481,                0.27885,                0.17164,                0.80346,              0.0004294,              0.0004294,              0.0004294
                     25,                0.24329,                 0.3094,                0.25316,                0.83283,                0.98589,                0.98658,                0.99458,                0.97994,                0.98589,                0.98658,                0.99458,                0.95841,                0.18827,                0.27289,                 0.1702,                0.80194,             0.00042389,             0.00042389,             0.00042389
                     26,                0.24123,                0.30928,                0.25701,                0.83208,                0.98849,                0.99078,                0.99459,                0.97921,                0.98849,                0.99078,                0.99459,                0.95687,                0.19382,                0.27762,                 0.1639,                0.80481,             0.00041839,             0.00041839,             0.00041839
                     27,                0.23934,                0.31616,                0.25823,                0.83369,                0.98869,                0.99034,                0.99444,                0.97783,                0.99005,                0.99172,                0.99452,                0.95737,                0.19623,                0.27749,                 0.1644,                0.80604,             0.00041289,             0.00041289,             0.00041289
                     28,                0.23645,                0.30645,                0.25199,                0.83335,                0.98351,                0.99069,                0.99259,                0.97684,                0.98488,                0.99206,                0.99318,                0.95445,                0.19042,                0.27023,                0.16685,                0.80455,             0.00040738,             0.00040738,             0.00040738
                     29,                 0.2339,                0.30771,                0.24408,                 0.8301,                0.99301,                0.99486,                0.99483,                0.98325,                0.99301,                0.99486,                0.99483,                0.95724,                0.18267,                0.26621,                0.15328,                0.80066,             0.00040188,             0.00040188,             0.00040188
